apparel wake an plantation,create_association
add the sort,add_class
floor is part of hallway,create_composition
library is identified by the numeric state,add_attribute
cattle can be a grade,create_inheritance
make the whistle,add_class
payment contains the boolean count,add_attribute
construct a drain,add_class
the quince hypothesize an pocket,create_association
oxtant consists of degree,create_composition
faucet is characterized by an age,add_attribute
add an achiever,add_class
construct an pies,add_class
make a learning,add_class
add an cord,add_class
construct the hour,add_class
add the number to music,add_attribute
title can be caption,create_inheritance
add a flower,add_class
plant contains hood,create_composition
agitation can be a wag,create_inheritance
business is a concern,create_inheritance
create the volcano,add_class
zebra is a equine,create_inheritance
comparison adopt vest,create_association
add a wash,add_class
add an text count to breath,add_attribute
employee can be porter,create_inheritance
quarter make up school year,create_composition
glove has a value,add_attribute
lock is part of firearm,create_composition
add an numeric name to park,add_attribute
doll is characterized by an count,add_attribute
side is identified by the value,add_attribute
yarn is identified by an text id,add_attribute
sleet do an tray,create_association
construct yoke,add_class
a stranger graduate a lip,create_association
create the person,add_class
drink contains an number,add_attribute
make branch,add_class
airplane is heavier-than-air craft,create_inheritance
containerful can be glass,create_inheritance
make an sponge,add_class
dog can be toy dog,create_inheritance
elastic device can be a spring,create_inheritance
advice is characterized by a binary id,add_attribute
a vest find distance,create_association
sign is part of disease,create_composition
add a roll,add_class
hospital embarrass a quince,create_association
banana make up dwarf banana,create_composition
toy is a replica,create_inheritance
breath is characterized by an boolean value,add_attribute
war is characterized by the binary value,add_attribute
detail last an stop,create_association
airliner contains galley,create_composition
cable is telegram,create_inheritance
add channel,add_class
sagacity can be eye,create_inheritance
ladybug is a beetle,create_inheritance
club is playing card,create_inheritance
a wind charge the underwear,create_association
musical notation contains space,create_composition
nail has a age,add_attribute
sock contains the text number,add_attribute
mark is a written symbol,create_inheritance
belief is identified by a numeric count,add_attribute
South Africa has Orange,create_composition
association can be club,create_inheritance
an parcel confuse wind,create_association
play is show,create_inheritance
tramp is footfall,create_inheritance
an steel visit quince,create_association
plate constitutes tube,create_composition
subordinate can be a man,create_inheritance
title is appellation,create_inheritance
Sunday make up weekend,create_composition
reactor can be coil,create_inheritance
water is a binary compound,create_inheritance
arch contains an boolean value,add_attribute
breath has a count,add_attribute
laminate is composed of layer,create_composition
an ants do an silk,create_association
year make up decade,create_composition
lamp has the binary count,add_attribute
creator has a boolean value,add_attribute
side contains an count,add_attribute
airplane consists of accelerator,create_composition
remedy can be acoustic,create_inheritance
a bee vanish the list,create_association
sign of the zodiac is part of zodiac,create_composition
the silk wend stranger,create_association
construct airplane,add_class
library is characterized by a boolean value,add_attribute
make a activity,add_class
add the test,add_class
add the honey,add_class
bit make up byte,create_composition
shade is inferiority,create_inheritance
the pocket hypothesize comparison,create_association
playing field is in stadium,create_composition
the underwear exceed pocket,create_association
symbol can be nose,create_inheritance
matter can be a substance,create_inheritance
Earth is composed of atmosphere,create_composition
turn can be a attack,create_inheritance
make development,add_class
paste is a adhesive material,create_inheritance
add an numeric count to mom,add_attribute
door make up doorway,create_composition
floor are part of building,create_composition
air terminal has gate,create_composition
list embarrass the bee,create_association
make a ball,add_class
transportation system consists of airfield,create_composition
construct an operation,add_class
road is composed of bend,create_composition
shock absorber is part of suspension,create_composition
add the riddle,add_class
kilobyte contains word,create_composition
add an soup,add_class
an visitor file a wealth,create_association
moon is identified by an name,add_attribute
yard contains foot,create_composition
friend contains the boolean state,add_attribute
make the map,add_class
branch is a stalk,create_inheritance
leader can be head,create_inheritance
mark is identified by an binary age,add_attribute
add the numeric number to act,add_attribute
add an binary count to advice,add_attribute
glove has an boolean state,add_attribute
make the prose,add_class
floor is part of lake,create_composition
make lock,add_class
add an text state to hobbies,add_attribute
throw can be a cast,create_inheritance
a iron wonder waves,create_association
construct the rose,add_class
concave shape can be recess,create_inheritance
construct the heat,add_class
rabbit contains a numeric age,add_attribute
carriage is identified by an text age,add_attribute
barrel consists of hoop,create_composition
add cakes,add_class
add a class a digestion,add_class
division is a separation,create_inheritance
anger is a emotional arousal,create_inheritance
construct the stove,add_class
create a feet,add_class
a trip do plantation,create_association
the grip grind an stranger,create_association
create sort,add_class
conclusion is in address,create_composition
frame is part of bowling,create_composition
celery are part of celery,create_composition
make the limit,add_class
sleet pat an wind,create_association
elementary particle can be string,create_inheritance
toe is part of foot,create_composition
distance wake an rake,create_association
playing period consists of quarter,create_composition
create an trouble,add_class
add the boolean count to pain,add_attribute
make a machine,add_class
a bushes design the iron,create_association
a market file an wrench,create_association
create the rings,add_class
harbor contains a number,add_attribute
mark contains a binary value,add_attribute
part constitutes whole,create_composition
the tray separate an wind,create_association
wind forego the grip,create_association
coat can be a wool,create_inheritance
side is characterized by an text value,add_attribute
wing constitutes angel,create_composition
create the quiver,add_class
bread is characterized by the numeric value,add_attribute
construct an ants,add_class
Great Bear consists of Big Dipper,create_composition
create the snake,add_class
leg make up trouser,create_composition
lead visit arch,create_association
the sleet include credit,create_association
