letter consists of line,create_composition
add a class an ornament,add_class
donkey contains an binary attribute age,add_attribute
transportation system is composed of airfield,create_composition
cast service the able,create_association
an furniture whistle an morning,create_association
opening can be mouth,create_inheritance
event is characterized by a numeric name,add_attribute
construct a class the thumb,add_class
construct a back,add_class
integumentary system is composed of skin,create_composition
grad is in right angle,create_composition
force can be a reaction,create_inheritance
add an numeric number to edge,add_attribute
circulatory system has heart,create_composition
bowling pin is bowling equipment,create_inheritance
hole is identified by an boolean attribute value,add_attribute
add a soda,add_class
England is composed of Bath,create_composition
robin contains the numeric attribute id,add_attribute
thumb constitutes glove,create_composition
mansion consists of manor hall,create_composition
book are part of text,create_composition
wall constitutes cave,create_composition
place is situation,create_inheritance
artifact can be thing,create_inheritance
ray is characterized by a binary number,add_attribute
region can be field,create_inheritance
add a class a organization,add_class
vessel contains a binary attribute age,add_attribute
create an jail,add_class
add an scale,add_class
golf stroke can be hook,create_inheritance
donkey is identified by the boolean age,add_attribute
mother is a abbess,create_inheritance
grandmother has a boolean id,add_attribute
the plot battle women,create_association
the able secure a existence,create_association
theological virtue can be a hope,create_inheritance
ray is characterized by an binary attribute state,add_attribute
written communication can be writing,create_inheritance
construct an back,add_class
cast is copy,create_inheritance
an anger justify kiss,create_association
journey can be voyage,create_inheritance
capital make up column,create_composition
support can be a bridge,create_inheritance
Mark are part of New Testament,create_composition
plate are part of tube,create_composition
clouds has a numeric attribute age,add_attribute
add a class cork,add_class
add a binary attribute id to ink,add_attribute
birds contains an numeric attribute count,add_attribute
construct a class an kettle,add_class
a rabbits tear a frame,create_association
foot is part of leg,create_composition
construct a class a rest,add_class
dairy product can be cream,create_inheritance
frame impress the stove,create_association
lyric make up song,create_composition
sack contains a boolean name,add_attribute
morning park a existence,create_association
knot is characterized by the boolean number,add_attribute
bird is meat,create_inheritance
linen is identified by an binary state,add_attribute
add the church,add_class
tape drive constitutes tape deck,create_composition
heavier-than-air craft can be airplane,create_inheritance
the bridge remain a quartz,create_association
key is part of Florida,create_composition
street is opportunity,create_inheritance
blood is liquid body substance,create_inheritance
hand has ball,create_composition
slope make up natural elevation,create_composition
handcart is wheeled vehicle,create_inheritance
a ray impress an beef,create_association
match is counterpart,create_inheritance
rabbit cheer grain,create_association
carriage make up lathe,create_composition
construct chalk,add_class
add a class hydrant,add_class
construct a class a pain,add_class
create a cattle,add_class
pet contains an value,add_attribute
actor has an numeric id,add_attribute
make an bath,add_class
punishment can be stick,create_inheritance
make the afterthought,add_class
the rabbit expedite sink,create_association
playing field constitutes stadium,create_composition
a plot mend sheet,create_association
direction is position,create_inheritance
clover is identified by a boolean age,add_attribute
battle is part of war,create_composition
ants stroke anger,create_association
sea risk an kiss,create_association
make a class the fan,add_class
the crayon dive soda,create_association
wave is a movement,create_inheritance
the rabbit tear the rabbits,create_association
quince is in quince,create_composition
factory has production line,create_composition
edge has a binary attribute age,add_attribute
furcation contains branch,create_composition
basketball court has key,create_composition
robin is identified by the numeric name,add_attribute
a rabbits battle the appliance,create_association
push button are part of push-button radio,create_composition
ink contains a boolean attribute count,add_attribute
bed is in press,create_composition
make a class the hobbies,add_class
add the text attribute value to quilt,add_attribute
step dancing consists of dance step,create_composition
event can be a act,create_inheritance
birds has an text attribute number,add_attribute
knot has a text value,add_attribute
baseball is a ball game,create_inheritance
crate is a containerful,create_inheritance
create a clam,add_class
construct a airplane,add_class
trap contains bait,create_composition
add an binary attribute state to robin,add_attribute
bedroom is part of dwelling,create_composition
add an number to door,add_attribute
construct a caption,add_class
an skin long the cast,create_association
add a class an cub,add_class
the quartz squeal a sheet,create_association
